ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
B461,BAe-146-100,C,B461_3D.jpg,AC0,250,True,1983,2001,,BRITISH AEROSPACE,UK,26.19,26.34,,,jet,['wings'],4,L4J,high,swept,False,False,False,False,False,False,T-tail,1,,
B462,BAe-146-200,C,B462_3D.jpg,AC0,100,True,1983,2001,,BRITISH AEROSPACE,UK,28.55,26.34,,,jet,['wings'],4,L4J,high,swept,False,False,False,False,False,False,T-tail,1,,
B463,BAe-146-300,C,RJ1H_3D.jpg,AC0,44,True,1983,2001,,BRITISH AEROSPACE,UK,31,26.34,,,jet,['wings'],4,L4J,high,swept,False,False,False,False,False,False,T-tail,1,,
B47,B-47 Stratojet,M,Boeing_B-47A_Stratojet.png,AC2,1341,True,1951,,1977,BOEING,USA,32.64,35.36,,,jet,['wings'],6,L6J,mid,swept,False,False,False,False,False,False,fuselage,1,,
B52,B-52 Stratofortress,M,R3.png,AC0,744,True,1955,1962,,BOEING,USA,49.05,56.39,,,jet,['wings'],8,L8J,high,swept,False,False,False,False,False,False,fuselage,1,,
B57,B-57 Canberra,M,B-57B.png,AC4,403,True,1954,,1983,MARTIN,USA,20,19.5,,,jet,['wings'],2,L2J,mid,straight,True,False,False,False,False,False,fuselage,1,,
B58,B-58 Hustler,M,Convair_B-58_Hustler.jpg,AC1,116,True,1960,,1970,CONVAIR,USA,29.51,17.3,,,jet,['wings'],4,L4J,mid,delta,False,False,False,False,False,False,none,1,,
B66,B-66 Destroyer,M,douglas-b-66-destroyer.jpg,AC2,249,True,1956,,1975,DOUGLAS,USA,22.91,22.11,,,jet,['wings'],2,L2J,high,swept,False,False,False,False,False,False,fuselage,1,,
B701,707-100,C,B701_3D_s10h.jpg,AC7,285,True,1959,,,BOEING,USA,44.04,39.88,,,jet,['wings'],4,L4J,low,swept,False,False,False,False,False,False,fuselage,1,,
B703,"707-300, C-137 Stratoliner",X,C-137.png,AC7,580,True,1959,,,BOEING,USA,46.61,44.4,,,jet,['wings'],4,L4J,low,swept,False,False,False,False,False,False,fuselage,1,,
B712,717-200,C,B712.jpeg,AC7,156,True,1999,2006,,BOEING,USA,37.8,28.47,,,jet,['hips'],2,L2J,low,swept,False,False,False,False,False,False,T-tail,1,,
B721,727-100,C,Boeing_727-100.png,AC7,571,True,1964,1984,,BOEING,USA,40.6,32.9,,,jet,"['hips', 'tail']",3,L3J,low,swept,False,False,False,False,False,False,T-tail,1,,
B722,727-200,C,Boeing_727-200.png,AC7,1260,True,1964,1984,,BOEING,USA,46.7,32.9,,,jet,"['hips', 'tail']",3,L3J,low,swept,False,False,False,False,False,False,T-tail,1,,
B731,737-100,C,737-100.png,AC7,30,True,1967,,,BOEING,USA,28.63,28.35,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B732,737-200,C,737-200.png,AC7,1114,True,1967,,,BOEING,USA,30.53,28.35,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B733,737-300,C,b737-300.jpg,AC7,1113,True,1984,,,BOEING,USA,33.44,28.9,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
